MONTH,AIRLINE,ARRIVAL_DELAY
1,AA,-3
1,AS,-6
1,B6,-3
1,DL,-8
1,EV,-3
1,F9,2
1,HA,-1
1,MQ,3
1,NK,-1
1,OO,-2
1,UA,-4
1,US,-4
1,VX,-5
1,WN,-4
2,AA,-3
2,AS,-6
2,B6,3
2,DL,-5
2,EV,-1
2,F9,6
2,HA,1
2,MQ,5
2,NK,2
2,OO,-2
2,UA,-2
2,US,-2
2,VX,-4
2,WN,-4
3,AA,-3
3,AS,-6
3,B6,-4
3,DL,-6
3,EV,-3
3,F9,4
3,HA,0
3,MQ,-1
3,NK,-2
3,OO,-5
3,UA,-5
3,US,-4
3,VX,-3
3,WN,-4
4,AA,-6
4,AS,-7
4,B6,-7
4,DL,-7
4,EV,-4
4,F9,1
4,HA,-2
4,MQ,-6
4,NK,-1
4,OO,-5
4,UA,-5
4,US,-3
4,VX,-5
4,WN,-4
5,AA,-6
5,AS,-5
5,B6,-10
5,DL,-8
5,EV,-4
5,F9,0
5,HA,-2
5,MQ,-6
5,NK,4
5,OO,-4
5,UA,-4
5,US,-6
5,VX,-2
5,WN,-4
6,AA,-5
6,AS,-5
6,B6,-7
6,DL,-6
6,EV,-1
6,F9,1
6,HA,-2
6,MQ,-3
6,NK,12
6,OO,-3
6,UA,0
6,US,-4
6,VX,-3
6,WN,-1
7,AA,-6
7,AS,-4
7,B6,-5
7,DL,-7
7,EV,-4
7,F9,0
7,HA,-2
7,MQ,-7
7,NK,0
7,OO,-4
7,UA,-4
7,VX,-2
7,WN,-1
8,AA,-6
8,AS,-3
8,B6,-4
8,DL,-7
8,EV,-5
8,F9,-3
8,HA,0
8,MQ,-8
8,NK,3
8,OO,-4
8,UA,-6
8,VX,-3
8,WN,-4
9,AA,-8
9,AS,-6
9,B6,-6
9,DL,-9
9,EV,-6
9,F9,-8
9,HA,-1
9,MQ,-11
9,NK,-3
9,OO,-6
9,UA,-9
9,VX,-4
9,WN,-7
10,AA,-7
10,AS,-7
10,B6,-4
10,DL,-9
10,EV,-5
10,F9,-7
10,HA,-3
10,MQ,-11
10,NK,-3
10,OO,-5
10,UA,-10
10,VX,-5
10,WN,-6
11,AA,-7
11,AS,-7
11,B6,-6
11,DL,-9
11,EV,-5
11,F9,0
11,HA,-4
11,MQ,-10
11,NK,-2
11,OO,-4
11,UA,-10
11,VX,-5
11,WN,-5
12,AA,-5
12,AS,-6
12,B6,-1
12,DL,-8
12,EV,-5
12,F9,-6
12,HA,-4
12,MQ,-9
12,NK,1
12,OO,-2
12,UA,-8
12,VX,-1
12,WN,-3
