MONTH,AIRLINE,ARRIVAL_DELAY
1,AA,-3.0
1,AS,-6.0
1,B6,-3.0
1,DL,-8.0
1,EV,-3.0
1,F9,2.0
1,HA,-1.0
1,MQ,3.0
1,NK,-1.0
1,OO,-2.0
1,UA,-4.0
1,US,-4.0
1,VX,-5.0
1,WN,-4.0
2,AA,-3.0
2,AS,-6.0
2,B6,3.0
2,DL,-5.0
2,EV,-1.0
2,F9,6.0
2,HA,1.0
2,MQ,5.0
2,NK,2.0
2,OO,-2.0
2,UA,-2.0
2,US,-2.0
2,VX,-4.0
2,WN,-4.0
3,AA,-3.0
3,AS,-6.0
3,B6,-4.0
3,DL,-6.0
3,EV,-3.0
3,F9,4.0
3,HA,0.0
3,MQ,-1.0
3,NK,-2.0
3,OO,-5.0
3,UA,-5.0
3,US,-4.0
3,VX,-3.0
3,WN,-4.0
4,AA,-6.0
4,AS,-7.0
4,B6,-7.0
4,DL,-7.0
4,EV,-4.0
4,F9,1.0
4,HA,-2.0
4,MQ,-6.0
4,NK,-1.0
4,OO,-5.0
4,UA,-5.0
4,US,-3.0
4,VX,-5.0
4,WN,-4.0
5,AA,-6.0
5,AS,-5.0
5,B6,-10.0
5,DL,-8.0
5,EV,-4.0
5,F9,0.0
5,HA,-2.0
5,MQ,-6.0
5,NK,4.0
5,OO,-4.0
5,UA,-4.0
5,US,-6.0
5,VX,-2.0
5,WN,-4.0
6,AA,-5.0
6,AS,-5.0
6,B6,-7.0
6,DL,-6.0
6,EV,-1.0
6,F9,1.0
6,HA,-2.0
6,MQ,-3.0
6,NK,12.0
6,OO,-3.0
6,UA,0.0
6,US,-4.0
6,VX,-3.0
6,WN,-1.0
7,AA,-6.0
7,AS,-4.0
7,B6,-5.0
7,DL,-7.0
7,EV,-4.0
7,F9,0.0
7,HA,-2.0
7,MQ,-7.0
7,NK,0.0
7,OO,-4.0
7,UA,-4.0
7,VX,-2.0
7,WN,-1.0
8,AA,-6.0
8,AS,-3.0
8,B6,-4.0
8,DL,-7.0
8,EV,-5.0
8,F9,-3.0
8,HA,0.0
8,MQ,-8.0
8,NK,3.0
8,OO,-4.0
8,UA,-6.0
8,VX,-3.0
8,WN,-4.0
9,AA,-8.0
9,AS,-6.0
9,B6,-6.0
9,DL,-9.0
9,EV,-6.0
9,F9,-8.0
9,HA,-1.0
9,MQ,-11.0
9,NK,-3.0
9,OO,-6.0
9,UA,-9.0
9,VX,-4.0
9,WN,-7.0
10,AA,-7.0
10,AS,-7.0
10,B6,-4.0
10,DL,-9.0
10,EV,-5.0
10,F9,-7.0
10,HA,-3.0
10,MQ,-11.0
10,NK,-3.0
10,OO,-5.0
10,UA,-10.0
10,VX,-5.0
10,WN,-6.0
11,AA,-7.0
11,AS,-7.0
11,B6,-6.0
11,DL,-9.0
11,EV,-5.0
11,F9,0.0
11,HA,-4.0
11,MQ,-10.0
11,NK,-2.0
11,OO,-4.0
11,UA,-10.0
11,VX,-5.0
11,WN,-5.0
12,AA,-5.0
12,AS,-6.0
12,B6,-1.0
12,DL,-8.0
12,EV,-5.0
12,F9,-6.0
12,HA,-4.0
12,MQ,-9.0
12,NK,1.0
12,OO,-2.0
12,UA,-8.0
12,VX,-1.0
12,WN,-3.0
