MONTH,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY,DEPARTURE_DELAY,DISTANCE
1,AA,ABQ,DFW,1.0,-3.0,569
1,AA,ATL,DFW,-7.0,-2.0,731
1,AA,ATL,MIA,-1.5,-3.0,594
1,AA,AUS,DFW,-5.0,-4.0,190
1,AA,AUS,JFK,-3.0,-5.0,1521
1,AA,AUS,LAX,-16.0,-6.0,1242
1,AA,AUS,ORD,-6.0,-5.0,978
1,AA,BDL,DFW,-2.0,0.0,1471
1,AA,BDL,MIA,2.0,-2.0,1194
1,AA,BHM,DFW,-10.0,-5.0,597
1,AA,BNA,DFW,-8.0,-4.0,631
1,AA,BNA,LAX,-11.0,-3.0,1797
1,AA,BNA,MIA,5.0,-3.0,806
1,AA,BOS,DFW,-7.0,-3.0,1562
1,AA,BOS,JFK,-3.0,-5.0,187
1,AA,BOS,LAX,-7.0,-2.0,2611
1,AA,BOS,MIA,-4.0,-3.0,1258
1,AA,BOS,ORD,-5.0,-3.0,867
1,AA,BWI,DFW,-6.0,-1.0,1217
1,AA,BWI,MIA,-1.0,-2.0,946
1,AA,CLE,DFW,-6.0,-3.0,1021
1,AA,CLT,DFW,-7.0,-4.0,936
1,AA,CLT,IAH,-5.0,-3.0,912
1,AA,CLT,JFK,7.5,-2.0,541
1,AA,CLT,MIA,-1.5,-1.0,650
1,AA,CLT,ORD,-6.0,-3.0,599
1,AA,CMH,DFW,-11.0,-4.0,926
1,AA,CMH,LAX,-6.5,7.0,1995
1,AA,COS,DFW,5.0,-3.0,592
1,AA,DAY,DFW,-11.0,-3.0,861
1,AA,DCA,DFW,-6.0,-2.0,1192
1,AA,DCA,JFK,24.0,14.0,213
1,AA,DCA,LAX,-15.5,-1.0,2311
1,AA,DCA,MIA,-5.0,-2.0,919
1,AA,DCA,ORD,-7.0,-4.0,612
1,AA,DEN,DFW,3.0,1.0,641
1,AA,DEN,MIA,5.0,8.0,1709
1,AA,DEN,ORD,4.5,1.5,888
1,AA,DFW,ABQ,-2.0,1.0,569
1,AA,DFW,ATL,-1.0,-1.0,731
1,AA,DFW,AUS,0.5,-2.0,190
1,AA,DFW,BDL,0.5,0.0,1471
1,AA,DFW,BHM,-1.0,-2.0,597
1,AA,DFW,BNA,-2.0,-2.0,631
1,AA,DFW,BOS,0.0,1.0,1562
1,AA,DFW,BWI,4.5,-1.0,1217
1,AA,DFW,CLE,-0.5,0.0,1021
1,AA,DFW,CLT,-3.0,-1.0,936
1,AA,DFW,CMH,-1.0,-3.0,926
1,AA,DFW,COS,-1.0,-1.0,592
1,AA,DFW,DAY,0.0,-3.0,861
1,AA,DFW,DCA,1.0,-0.5,1192
1,AA,DFW,DEN,-1.0,0.0,641
1,AA,DFW,DSM,4.0,-1.5,624
1,AA,DFW,DTW,1.0,-1.0,986
1,AA,DFW,EGE,-0.5,0.0,721
1,AA,DFW,ELP,-1.0,0.0,551
1,AA,DFW,EWR,6.0,-1.0,1372
1,AA,DFW,FAT,-10.0,-1.0,1313
1,AA,DFW,FLL,-2.5,0.0,1119
1,AA,DFW,GUC,-4.0,-2.0,678
1,AA,DFW,HDN,2.0,0.0,769
1,AA,DFW,HNL,3.5,4.5,3784
1,AA,DFW,HOU,-4.5,-3.0,247
1,AA,DFW,IAD,0.0,-1.5,1172
1,AA,DFW,IAH,0.0,-2.0,224
1,AA,DFW,ICT,-3.5,-3.0,328
1,AA,DFW,IND,3.0,0.0,761
1,AA,DFW,JAC,-1.0,0.0,1047
1,AA,DFW,JAX,-3.0,-2.0,918
1,AA,DFW,JFK,4.0,4.0,1391
1,AA,DFW,LAS,-9.0,-2.0,1055
1,AA,DFW,LAX,-6.0,1.0,1235
1,AA,DFW,LGA,-3.0,-1.0,1389
1,AA,DFW,LIT,42.0,35.5,304
1,AA,DFW,MCI,0.0,0.0,460
1,AA,DFW,MCO,-1.0,-1.0,985
1,AA,DFW,MEM,-2.0,-0.5,432
1,AA,DFW,MFE,-1.0,-2.0,469
1,AA,DFW,MIA,0.0,1.0,1121
1,AA,DFW,MKE,-5.0,-3.0,853
1,AA,DFW,MSP,0.0,-2.0,852
1,AA,DFW,MSY,-3.0,-2.0,447
1,AA,DFW,MTJ,38.0,33.0,722
1,AA,DFW,OGG,3.5,1.5,3711
1,AA,DFW,OKC,-1.0,-2.0,175
1,AA,DFW,OMA,-3.0,-3.0,583
1,AA,DFW,ONT,-7.0,0.0,1188
1,AA,DFW,ORD,1.0,0.0,802
1,AA,DFW,ORF,3.0,5.0,1212
1,AA,DFW,PBI,1.0,1.0,1102
1,AA,DFW,PDX,-5.0,1.0,1616
1,AA,DFW,PHL,4.0,2.0,1303
1,AA,DFW,PHX,-6.0,1.0,868
1,AA,DFW,PIT,-0.5,-1.0,1067
1,AA,DFW,PSP,-2.0,1.0,1126
1,AA,DFW,RDU,1.0,0.0,1061
1,AA,DFW,RIC,2.0,-1.0,1158
1,AA,DFW,RNO,-6.0,0.0,1345
1,AA,DFW,RSW,-1.5,1.0,1017
1,AA,DFW,SAN,-3.5,2.0,1171
1,AA,DFW,SAT,0.0,-1.0,247
1,AA,DFW,SDF,0.5,-0.5,733
1,AA,DFW,SEA,-3.0,3.0,1660
1,AA,DFW,SFO,-5.0,4.0,1464
1,AA,DFW,SJC,-14.0,1.0,1438
1,AA,DFW,SJU,-2.5,3.5,2165
1,AA,DFW,SLC,-3.5,2.0,989
1,AA,DFW,SMF,-11.0,0.0,1431
1,AA,DFW,SNA,-7.0,0.0,1205
1,AA,DFW,STL,-3.0,-3.0,550
1,AA,DFW,TPA,-1.0,-1.5,929
1,AA,DFW,TUL,-3.0,-1.0,237
1,AA,DFW,TUS,-6.0,-1.0,813
1,AA,DSM,DFW,-8.0,-1.0,624
1,AA,DTW,DFW,-9.0,-3.0,986
1,AA,DTW,MIA,-7.0,-2.0,1145
1,AA,DTW,PHX,5.0,1.0,1671
1,AA,EGE,DFW,-10.0,-6.0,721
1,AA,EGE,JFK,0.0,-3.0,1746
1,AA,EGE,LAX,-14.0,-6.5,748
1,AA,EGE,MIA,8.0,-2.0,1810
1,AA,EGE,ORD,-5.5,-2.5,1007
1,AA,ELP,DFW,-1.0,-1.0,551
1,AA,EWR,DFW,1.0,-1.0,1372
1,AA,EWR,MIA,1.0,-1.0,1085
1,AA,EWR,PHX,6.0,2.0,2133
1,AA,FAT,DFW,6.0,0.0,1313
1,AA,FLL,DFW,-7.0,-1.0,1119
1,AA,FLL,ORD,-8.5,-2.0,1182
1,AA,GUC,DFW,5.0,-3.0,678
1,AA,HDN,DFW,-2.0,-4.0,769
1,AA,HNL,DFW,0.5,-3.5,3784
1,AA,HNL,LAX,-11.0,-7.0,2556
1,AA,HOU,DFW,-5.0,-7.0,247
1,AA,IAD,DFW,-8.0,-2.0,1172
1,AA,IAD,LAX,-11.5,-2.0,2288
1,AA,IAD,MIA,6.5,-2.0,921
1,AA,IAH,CLT,-16.0,-6.0,912
1,AA,IAH,DFW,-7.0,-5.0,224
1,AA,IAH,MIA,-4.0,-5.5,964
1,AA,ICT,DFW,-7.0,-2.5,328
1,AA,IND,DFW,-11.0,-3.0,761
1,AA,IND,LAX,-15.0,-1.0,1814
1,AA,JAC,DFW,-9.0,-9.0,1047
1,AA,JAX,DFW,-9.0,-2.0,918
1,AA,JFK,AUS,-9.0,-1.0,1521
1,AA,JFK,BOS,3.0,-1.0,187
1,AA,JFK,CLT,-2.5,0.0,541
1,AA,JFK,DCA,12.0,-1.0,213
1,AA,JFK,DFW,-12.0,2.0,1391
1,AA,JFK,EGE,2.5,2.0,1746
1,AA,JFK,LAS,-3.0,-2.0,2248
1,AA,JFK,LAX,-15.0,-3.0,2475
1,AA,JFK,MCO,-2.0,-4.0,944
1,AA,JFK,MIA,3.0,1.0,1089
1,AA,JFK,ORD,-2.0,1.0,740
1,AA,JFK,SAN,-6.0,1.0,2446
1,AA,JFK,SEA,16.0,15.5,2422
1,AA,JFK,SFO,-10.0,-2.0,2586
1,AA,JFK,SJU,2.0,4.0,1598
1,AA,JFK,STT,-2.0,-1.0,1623
1,AA,KOA,LAX,-11.0,-4.5,2504
1,AA,LAS,DFW,0.0,-4.0,1055
1,AA,LAS,JFK,-7.5,-2.0,2248
1,AA,LAS,LAX,-5.0,-5.0,236
1,AA,LAS,MIA,1.0,-3.0,2174
1,AA,LAS,ORD,0.0,-3.5,1514
1,AA,LAX,AUS,1.5,-6.0,1242
1,AA,LAX,BNA,-1.5,-5.0,1797
1,AA,LAX,BOS,-3.0,-3.0,2611
1,AA,LAX,CMH,-2.5,-1.0,1995
1,AA,LAX,DCA,-2.0,-4.0,2311
1,AA,LAX,DFW,-1.0,-3.0,1235
1,AA,LAX,EGE,-8.0,-5.0,748
1,AA,LAX,HNL,-10.0,-2.0,2556
1,AA,LAX,IAD,2.0,-4.0,2288
1,AA,LAX,IND,-1.0,-2.5,1814
1,AA,LAX,JFK,-7.0,-4.0,2475
1,AA,LAX,KOA,-7.5,-3.0,2504
1,AA,LAX,LAS,-6.0,-4.0,236
1,AA,LAX,LIH,-0.5,-3.0,2615
1,AA,LAX,MCO,-3.0,-5.0,2218
1,AA,LAX,MIA,-1.0,-3.0,2342
1,AA,LAX,OGG,-6.0,-3.0,2486
