CITY,LATITUDE,LONGITUDE,perc_delay
Aberdeen,45.44906,-98.42183,0.248097412
Abilene,32.41132,-99.6819,0.336330935
Adak,51.87796,-176.64603,0.348314607
Agana,13.48345,-144.79598,0.598187311
Aguadilla,18.49486,-67.12944,0.518072289
Akron,40.91631,-81.44247,0.344695071
Albany,42.74812,-73.80298,0.448304046
Albuquerque,35.04022,-106.60919,0.415554266
Alexandria,31.32737,-92.54856,0.391489362
Allentown,40.65236,-75.4404,0.378378378
Alpena,45.07807,-83.56029,0.234972678
Amarillo,35.21937,-101.70593,0.422009334
Anchorage,61.17432,-149.99619,0.394904861
Appleton,44.25741,-88.51948,0.370973579
Arcata/Eureka,40.97812,-124.10862,0.426203631
Arlington,38.85208,-77.03772,0.361093656
Asheville,35.43619,-82.54181,0.366778149
Aspen,39.22316,-106.86885,0.544478528
Atlanta,33.64044,-84.42694,0.307812263
Atlantic City,39.45758,-74.57717,0.452974504
Augusta,33.36996,-81.9645,0.375372816
Austin,30.19453,-97.66987,0.403715768
Bakersfield,35.4336,-119.05677,0.405488983
Baltimore,39.1754,-76.6682,0.357188627
Bangor,44.80744,-68.82814,0.347107438
Barrow,71.28545,-156.766,0.411477411
Baton Rouge,30.53316,-91.14963,0.41984842
Beaumont/Port Arthur,29.95083,-94.02069,0.520218579
Bellingham,48.79275,-122.53753,0.293447293
Bemidji,47.50942,-94.93372,0.231578947
Bethel,60.77978,-161.838,0.3629124
Billings,45.80766,-108.54286,0.309256662
Binghamton,42.20848,-75.97961,0.34496124
Birmingham,33.56294,-86.75355,0.39075323
Bismarck,46.77411,-100.74672,0.382603585
Bloomington,40.47799,-88.91595,0.410110224
Boise,43.56444,-116.22278,0.399774482
Boston,42.36435,-71.00518,0.384295397
Bozeman,45.7769,-111.15301,0.345398429
Brainerd,46.39786,-94.13723,0.17838765
Bristol,36.47521,-82.40742,0.309623431
Brownsville,25.90683,-97.42586,0.351279788
Brunswick,31.25903,-81.46631,0.359447005
Buffalo,42.94052,-78.73217,0.367946234
Burbank,34.20062,-118.3585,0.374185558
Burlington,44.473,-73.15031,0.407088782
Butte,45.9548,-112.49746,0.246875
Casper,42.90836,-106.46447,0.277046365
Cedar City,37.70097,-113.09858,0.59122807
Cedar Rapids,41.88459,-91.71087,0.406595069
Champaign/Urbana,40.03925,-88.27806,0.307846077
Chantilly,38.94453,-77.45581,0.347012047
Charleston,32.89865,-80.04051,0.447817837
Charlotte,35.21401,-80.94313,0.361985227
Charlotte Amalie,18.33731,-64.97336,0.376915931
Charlottesville,38.13864,-78.45286,0.4197063
Chattanooga,35.03527,-85.20379,0.379927449
Chicago,41.9796,-87.90446,0.475897544
Christiansted,17.70189,-64.79856,0.420150054
Cleveland,41.41089,-81.8494,0.347737416
Cody,44.52019,-109.0238,0.378881988
College Station,30.58859,-96.36382,0.325295723
Colorado Springs,38.80581,-104.70025,0.444246738
Columbia,33.93884,-81.11954,0.526836997
Columbus,39.99799,-82.89188,0.39547473
Columbus-Starkville-West Point,33.45033,-88.59137,0.309210526
Cordova,60.49183,-145.47765,0.354740061
Corpus Christi,27.77036,-97.50122,0.452016985
Covington,39.04614,-84.66217,0.394071045
Crescent City,41.78016,-124.23653,0.348571429
Dallas,32.84711,-96.85177,0.373739442
Dallas-Fort Worth,32.89595,-97.0372,0.359469115
Dayton,39.90238,-84.21938,0.380532029
Daytona Beach,29.17992,-81.05806,0.298858294
Deadhorse,70.19476,-148.46516,0.328125
Denver,39.85841,-104.667,0.370107702
Des Moines,41.53493,-93.66068,0.395694957
Detroit,42.21206,-83.34884,0.342538492
Devils Lake,48.11425,-98.90878,0.338947368
Dickinson,46.79739,-102.80195,0.268052516
Dillingham,59.04541,-158.50334,0.220779221
Dothan,31.32134,-85.44963,0.35668277
Dubuque,42.40296,-90.70917,0.312572088
Duluth,46.84209,-92.19365,0.356024096
Durango,37.15152,-107.75377,0.33101737
Eagle,39.64257,-106.9177,0.39148581
Eau Claire,44.86526,-91.48507,0.383647799
El Paso,31.80667,-106.37781,0.426834417
Elko,40.82493,-115.7917,0.308880309
Elmira,42.15991,-76.89144,0.408773679
Erie,42.08202,-80.17622,0.407355021
Escanaba,45.72267,-87.09373,0.254083485
Eugene,44.12326,-123.21869,0.377702892
Evansville,38.03799,-87.53063,0.335844995
Fairbanks,64.81368,-147.85967,0.389274156
Fargo,46.91935,-96.81499,0.386184681
Fayetteville,34.99147,-78.88,0.353741497
Fayetteville/Springdale/Rogers,36.28187,-94.30681,0.436234142
Flagstaff,35.13845,-111.67122,0.376477909
Flint,42.9655,-83.74346,0.344730578
Fort Smith,35.33659,-94.36744,0.447409733
Fort Wayne,40.97847,-85.19515,0.358279316
Fresno,36.77619,-119.71814,0.426248381
Ft. Lauderdale,26.07258,-80.15275,0.390505676
Ft. Myers,26.53617,-81.75517,0.355668384
Gainesville,29.69006,-82.27178,0.425274309
Garden City,37.92752,-100.72441,0.392125984
Gillette,44.3489,-105.53936,0.252545825
Grand Forks,47.94926,-97.17611,0.318373072
Grand Island,40.96747,-98.30861,0.29787234
Grand Junction,39.12241,-108.52673,0.337261146
Grand Rapids,42.88082,-85.52277,0.381952327
Great Falls,47.482,-111.37069,0.324948665
Green Bay,44.48507,-88.12959,0.342561285
Greensboro,36.09775,-79.9373,0.3933971
Greer,34.89567,-82.21886,0.389366693
Gulfport-Biloxi,30.40728,-89.07009,0.37244898
Gunnison,38.53396,-106.93318,0.480851064
Gustavus,58.42438,-135.70738,0.540540541
Hailey,43.50484,-114.29659,0.351288056
Hancock,47.16842,-88.48906,0.325203252
Harlingen,26.22851,-97.65439,0.36661157
Harrisburg,40.1935,-76.7634,0.331164808
Hattiesburg-Laurel,31.46715,-89.33706,0.34402852
Hayden,40.48118,-107.21766,0.376093294
Hays,38.84494,-99.27403,0.256684492
Helena,46.60682,-111.98275,0.267417312
Hibbing,47.3866,-92.83899,0.302511416
Hilo,19.72026,-155.04847,0.378960266
Hobbs,32.68753,-103.21703,0.339517625
Honolulu,21.31869,-157.92241,0.428794409
Houston,29.98047,-95.33972,0.505289476
Huntsville,34.64045,-86.77311,0.34196308
Hyannis,41.66934,-70.28036,0.358024691
Idaho Falls,43.51456,-112.07017,0.330641543
Indianapolis,39.71733,-86.29438,0.366551161
International Falls,48.56619,-93.40307,0.222222222
Iron Mountain/Kingsford,45.81835,-88.11454,0.18852459
Islip,40.79524,-73.10021,0.421882353
Ithaca,42.49103,-76.45844,0.419354839
Jackson,32.31117,-90.07589,0.569858259
Jacksonville,30.49406,-81.68786,0.428202102
Jamestown,46.92972,-98.6782,0.366887417
Joplin,37.15181,-94.49827,0.403125
Juneau,58.35496,-134.57628,0.374195146
Kahului,20.89865,-156.43046,0.393401881
Kailua/Kona,19.73877,-156.04563,0.35259072
Kalamazoo,42.23488,-85.55206,0.294893861
